! Solar data file for CrIS hiRes 080808 SARTA fast model
!
! Data for 645-1500 cm-1 comes from M.P. Thekaekara, 1973 Solar
! Energy v.14 p.109-127 (supplied to us by Chris Barnet).  The ~80
! cm-1 point spacing data has been interpolated to the IASI
! channel freqs and converted to W/(m2.sr.cm-1).
!
! Data for 1500-2760 cm-1 comes from ATMOS Solar Spectra, and was
! supplied to us by ATMOS Principal Investigator Michael Gunson.
! In particular we used the file "atmos_corrected_solar.mat".
! This data was then directly convolved with IASI SRFs (Gaussian
! 2cm apodization) for each channel to approximate the effective
! solar irradiance.
!
!chan frequency  solar
!----  -------  -------
   779    894.820    29.365
   780    895.161    29.388
   781    895.502    29.410
   782    895.844    29.433
   783    896.185    29.456
   784    896.528    29.478
   785    896.870    29.501
   786    897.213    29.523
   787    897.556    29.547
   788    897.899    29.569
   789    898.243    29.592
   790    898.586    29.615
   791    898.931    29.637
   792    899.275    29.660
   793    899.620    29.683
   794    899.965    29.706
   795    900.310    29.729
   796    900.655    29.752
   797    901.001    29.775
   798    901.347    29.798
   799    901.694    29.821
   800    902.040    29.844
   801    902.387    29.867
   802    902.734    29.890
   803    903.082    29.914
   804    903.429    29.937
   805    903.777    29.960
   806    904.120    29.983
   807    904.459    30.006
   808    904.798    30.028
   809    905.137    30.051
   810    905.476    30.074
   811    905.815    30.096
   812    906.154    30.119
   813    906.493    30.143
   814    906.832    30.165
   815    907.171    30.188
   816    907.510    30.211
   817    907.849    30.234
   818    908.188    30.256
   819    908.527    30.279
   820    908.866    30.302
   821    909.205    30.325
   822    909.544    30.348
   823    909.883    30.371
   824    910.222    30.393
   825    910.561    30.417
   826    910.900    30.439
   827    911.235    30.462
   828    911.590    30.486
   829    911.945    30.510
   830    912.301    30.534
   831    912.656    30.559
   832    913.012    30.583
   833    913.369    30.607
   834    913.725    30.631
   835    914.082    30.656
   836    914.439    30.680
   837    914.796    30.704
   838    915.154    30.728
   839    915.512    30.754
   840    915.870    30.778
   841    916.229    30.803
   842    916.588    30.827
   843    916.947    30.851
   844    917.306    30.876
   845    917.666    30.901
   846    918.026    30.926
   847    918.386    30.950
   848    918.747    30.975
